,review_scores_accuracy,review_scores_accuracy,review_scores_location,host_total_listings_count,number_of_reviews,latitude,longitude,availability_60,availability_30,bedrooms,calculated_host_listings_count_entire_homes,accommodates,calculated_host_listings_count_private_rooms,minimum_nights,number_of_reviews_l30d,availability_90,beds,review_scores_rating,maximum_nights,review_scores_cleanliness,review_scores_communication,host_listings_count,review_scores_checkin,availability_365,number_of_reviews_ltm,review_scores_value,calculated_host_listings_count
84,4.793877426390403,4.793877426390403,4.845981243184297,11.0,0.0,19.38875,-99.2,58,28,1.0,2.0,1.0,1.0,1.6,0.0,88,1.0,4.757116810608044,1125,4.761881788440568,4.829862595419848,11.0,4.843370556161396,88,0.0,4.725268047982552,3.0
85,4.92,4.92,4.88,7.0,25.0,19.43621,-99.13874,27,15,1.4,2.0,7.0,0.0,3.0,0.0,56,1.6,4.92,30,4.96,4.83,2.0,5.0,90,0.0,4.88,2.0
86,4.9,4.9,4.98,2.0,125.0,19.41578,-99.17425,10,1,2.0,2.0,4.0,0.0,1.6,1.0,27,2.0,4.81,95,4.85,4.9,2.0,4.93,296,15.0,4.84,2.0
87,4.9,4.9,4.93,10.0,88.0,19.42131,-99.16722,30,10,1.0,0.0,2.0,2.0,1.6,0.0,59,1.0,4.77,60,4.93,4.92,2.0,4.92,59,1.0,4.79,2.0
88,4.74,4.74,4.85,10.0,27.0,19.42242,-99.16823,15,0,1.0,0.0,2.0,2.0,1.6,0.0,44,1.0,4.63,60,4.74,4.75,2.0,4.8,44,2.0,4.71,2.0
89,4.91,4.91,4.92,3.0,27.0,19.42048,-99.15678,31,9,1.0,1.0,3.0,0.0,1.6,1.0,61,2.0,4.68,1125,4.81,4.78,1.0,4.8,240,37.0,4.73,1.0
90,5.0,5.0,5.0,2.0,3.0,19.4,-99.17076,0,0,1.5696453569762017,0.0,1.0,1.0,1.0,0.0,0,1.9678361335646877,5.0,1125,5.0,5.0,1.0,5.0,0,0.0,5.0,1.0
91,4.71,4.71,4.88,9.0,49.0,19.34868,-99.1943,12,0,1.0,1.0,2.0,4.0,1.0,0.0,42,1.9678361335646877,4.8,1125,4.86,4.84,8.0,4.85,317,6.0,4.73,7.0
92,5.0,5.0,5.0,5.0,3.0,19.4,-99.2,31,4,1.0,0.0,2.0,3.0,3.0,0.0,56,1.0,5.0,1125,5.0,5.0,4.0,5.0,311,1.0,5.0,3.0
93,4.87,4.87,4.7,2.0,23.0,19.38672,-99.15554,0,0,2.0,1.0,3.0,0.0,1.6,0.0,0,1.9678361335646877,4.82,365,4.74,5.0,1.0,4.96,0,0.0,4.96,1.0
94,4.81,4.81,4.96,1.0,57.0,19.42073,-99.16173,39,20,2.0,1.0,4.0,0.0,1.6,0.0,69,2.0,4.77,45,4.84,4.98,1.0,4.98,338,1.0,4.86,1.0
95,4.88,4.88,4.76,8.0,50.0,19.40692,-99.18831,17,9,2.0,5.0,6.0,2.0,2.0,0.0,30,1.6,4.86,365,4.94,5.0,7.0,4.94,259,0.0,4.94,7.0
96,4.77,4.77,4.89,4.0,27.0,19.43784,-99.2,49,24,1.0,0.0,2.0,1.0,1.0,0.9,71,1.0,4.63,1125,4.63,4.92,1.0,4.9,326,24.0,4.59,1.0
97,4.96,4.96,4.96,4.0,27.0,19.41887,-99.17333,19,9,2.0,1.0,4.0,0.0,1.0,1.0,47,3.0,4.91,90,4.94,4.83,2.0,4.93,214,35.0,4.84,1.0
98,4.88,4.88,4.98,3.0,65.0,19.44289207458496,-99.20138549804688,27,12,1.0,0.0,2.0,1.0,2.0,1.0,42,1.0,4.82,30,4.65,4.94,1.0,4.94,42,10.0,4.77,1.0
99,4.82,4.82,4.73,1.0,28.0,19.45535,-99.15867,57,27,1.0,0.0,1.0,1.0,1.6,0.0,87,1.0,4.89,90,4.79,4.89,1.0,4.85,362,1.0,4.88,1.0
100,5.0,5.0,5.0,13.0,1.0,19.41346,-99.1775,0,0,1.0,4.0,3.0,1.0,1.0,0.0,0,1.0,4.8,365,5.0,4.9,12.0,5.0,253,0.0,4.8,8.0
101,4.75,4.75,4.88,7.0,16.0,19.41269,-99.15512,0,0,1.0,2.0,2.0,2.0,1.6,0.0,0,1.0,4.63,1825,4.5,4.94,5.0,4.94,267,0.0,4.75,4.0
102,4.69,4.69,4.86,16.0,110.0,19.43374,-99.14616,35,20,2.0,14.0,4.0,1.0,2.0,1.0,59,2.0,4.67,60,4.72,4.64,15.0,4.67,230,21.0,4.71,15.0
103,5.0,5.0,4.9,1.0,6.0,19.48321,-99.2,57,27,1.0,0.0,2.0,1.0,3.0,0.0,87,1.0,4.83,365,4.83,4.83,1.0,4.83,87,0.0,4.67,1.0
104,4.82,4.82,4.59,2.0,22.0,19.43221,-99.15708,24,0,1.0,1.0,2.0,0.0,1.6,0.0,54,1.0,4.67,365,4.68,4.59,1.0,4.73,329,0.0,4.59,1.0
105,4.94,4.94,4.92,26.0,50.0,19.42887,-99.17651,56,26,1.0,9.0,2.0,0.0,3.0,0.0,86,1.0,4.92,1125,4.98,5.0,15.0,5.0,176,13.0,4.9,9.0
106,4.98,4.98,5.0,7.0,46.0,19.35711,-99.16049,59,29,2.0,3.0,4.0,0.0,1.6,0.0,89,3.0,4.93,1125,4.89,5.0,3.0,4.98,364,1.0,4.91,3.0
107,4.93,4.93,5.0,7.0,15.0,19.35538,-99.16276,59,29,1.0,3.0,3.0,0.0,2.0,0.0,89,2.0,4.93,1125,5.0,5.0,3.0,4.93,364,2.0,4.87,3.0
108,4.71,4.71,5.0,7.0,21.0,19.35353,-99.16299,59,29,1.0,3.0,3.0,0.0,1.6,0.0,89,2.0,4.95,1125,4.95,4.95,3.0,5.0,364,0.0,4.86,3.0
109,4.9,4.9,4.95,3.0,61.0,19.35358,-99.16948,57,27,1.0,2.0,2.0,0.0,3.0,0.0,87,1.0,4.85,120,4.88,5.0,3.0,4.93,362,0.0,4.84,2.0
110,4.89,4.89,5.0,2.0,102.0,19.41909,-99.16043,10,6,1.0,1.0,2.0,0.0,3.0,1.0,26,1.0,4.88,30,4.74,4.86,1.0,4.91,249,15.0,4.84,1.0
111,4.92,4.92,4.95,7.0,27.0,19.4163,-99.16613,30,9,1.0,3.0,3.0,0.0,3.0,0.0,60,2.0,4.94,1125,4.96,4.99,7.0,5.0,149,28.0,4.91,3.0
112,4.73,4.73,4.63,5.0,27.0,19.43949,-99.2,42,21,1.0,3.0,2.0,2.0,1.0,2.0,64,2.0,4.53,1125,4.68,4.78,5.0,4.81,332,17.0,4.6,5.0
113,4.83,4.83,4.89,9.0,87.0,19.43573,-99.18955,18,18,1.0,3.0,2.0,0.0,3.0,0.0,32,1.0,4.76,730,4.85,4.95,4.0,4.92,307,4.0,4.68,3.0
114,4.71,4.71,4.9,2.0,14.0,19.4,-99.2,53,23,3.0,1.0,5.0,0.0,1.6,0.0,83,1.6,4.71,365,4.8,4.71,1.0,4.86,358,2.0,4.43,1.0
115,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.44614,-99.15868,0,0,1.5696453569762017,0.0,2.0,0.0,1.0,0.0,0,1.9678361335646877,4.757116810608044,1125,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
116,5.0,5.0,5.0,3.0,22.0,19.35106,-99.19789,57,27,2.0,2.0,4.0,0.0,1.6,0.0,87,1.9678361335646877,5.0,21,4.91,5.0,3.0,4.95,362,0.0,4.95,2.0
117,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.40809,-99.18109,0,0,1.5696453569762017,0.0,2.0,1.0,2.0,0.0,0,1.9678361335646877,4.757116810608044,365,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
118,4.86,4.86,4.84,15.0,101.0,19.41499,-99.18215,33,6,3.0,1.0,6.0,0.0,1.6,0.0,63,3.0,4.9,1125,4.83,4.94,6.0,4.98,338,1.0,4.7,1.0
